"","sensor","lat","lon","species","dbh"
"1",301,42.0993819417867,-71.0163960864813,"Q. Alba",105.777396907771
"2",302,42.098490457407,-71.0179260867314,"A. Rubrum",87.3773955494068
"3",303,42.0988508460057,-71.0175584063283,"B. Lenta",96.2501474984912
"4",304,42.098865323648,-71.0171331667161,"B. Lenta",107.198941575459
"5",305,42.099318364845,-71.0181102722736,"A. Rubrum",93.4149125102352
"6",306,42.0987601111781,-71.0171989560796,"Q. Alba",84.934456743977
"7",307,42.0996136942138,-71.0167608725155,"A. Rubrum",108.279554622479
"8",308,42.097301633271,-71.0171489125217,"Q. Alba",101.791022196017
"9",309,42.0983574340374,-71.0156183511112,"A. Rubrum",85.6837552488424
"10",310,42.0979876246687,-71.0166137673022,"Q. Alba",98.2666226151262
"11",311,42.0984720812452,-71.0179287785514,"B. Lenta",101.590087306705
"12",312,42.0996615457557,-71.0159274815868,"B. Lenta",104.019016871873
"13",313,42.0989165233503,-71.017142483745,"P. Serotina",111.612086371071
"14",314,42.1003098696881,-71.0168026571726,"B. Lenta",93.7536551007728
"15",315,42.097494528374,-71.0184901769424,"Q. Alba",116.495860544905
