"","sensor","lat","lon","species","dbh"
"1",401,42.4647120683694,-72.1612389429189,"B. Lenta",99.5752945615373
"2",402,42.4649786372149,-72.1639872503255,"B. Lenta",84.4882027383683
"3",403,42.4653013639414,-72.1658771497368,"P. Serotina",80.6621705807552
"4",404,42.4636577157617,-72.1646745710218,"P. Serotina",86.6571484876232
"5",405,42.465905948228,-72.1640561900537,"A. Rubrum",111.341554253254
"6",406,42.4658419758921,-72.1640969983005,"Q. Alba",88.6845708023726
"7",407,42.4644780228597,-72.163273381948,"B. Lenta",121.362523570073
"8",408,42.4636822543693,-72.1616337575095,"A. Rubrum",101.341990077577
"9",409,42.4670254474174,-72.1646357587442,"Q. Alba",96.9818892936725
"10",410,42.4637982207345,-72.1646712392806,"P. Serotina",119.736210247271
"11",411,42.4645858657694,-72.1630190941399,"P. Serotina",89.6238633398853
"12",412,42.4646244243163,-72.164576322859,"B. Lenta",95.112923835856
"13",413,42.4656239624635,-72.1653845969532,"B. Lenta",86.3403343116975
"14",414,42.4654554827095,-72.1635636609745,"P. Serotina",112.373323876011
"15",415,42.466028703444,-72.1644166403563,"B. Lenta",99.126823686891
